Year,Camel,Cattle,Goat,Horse,Sheep,Total
1992,0.0214,0.1161,0.13340000000000002,0.0798,0.5136000000000001,0.8643000000000001
1993,0.0237,0.2747,0.2793,0.1392,0.9221,1.639
1994,0.0094,0.07540000000000001,0.1354,0.040799999999999996,0.4184,0.6794
1995,0.0075,0.08209999999999999,0.12840000000000001,0.0471,0.3972,0.6623
1996,0.008,0.0773,0.1549,0.0519,0.2844,0.5765
1997,0.0057,0.1076,0.176,0.0443,0.2759,0.6094999999999999
1998,0.0065,0.1098,0.2716,0.0503,0.3416,0.7798
1999,0.007,0.1215,0.2403,0.0712,0.3295,0.7695000000000001
2000,0.0182,0.6287,1.0304,0.3934,1.4142000000000001,3.4849
2001,0.020300000000000002,1.0129,1.2769000000000001,0.4476,1.9767000000000001,4.734400000000001
2002,0.0258,0.1955,1.3067,0.21280000000000002,1.1725,2.9133000000000004
2003,0.0072,0.2138,0.4263,0.1361,0.5336000000000001,1.3170000000000002
2004,0.0023,0.0453,0.09540000000000001,0.0303,0.115,0.2883
2005,0.0036,0.057199999999999994,0.31989999999999996,0.0386,0.2547,0.6739999999999999
2006,0.0048000000000000004,0.039,0.2187,0.0305,0.1814,0.47440000000000004
2007,0.0018,0.027800000000000002,0.1193,0.0244,0.1192,0.2925
2008,0.0033000000000000004,0.1323,0.729,0.1215,0.6523,1.6383999999999999
2009,0.003,0.10629999999999999,0.877,0.0625,0.6802,1.729
2010,0.0171,0.5761000000000001,4.9547,0.36769999999999997,4.3309,10.246500000000001
2011,0.0022,0.0521,0.2837,0.0275,0.283,0.6485000000000001
2012,0.0012,0.0361,0.19390000000000002,0.021,0.1746,0.42680000000000007
2013,0.0017000000000000001,0.07440000000000001,0.3314,0.0356,0.3457,0.7888
2014,0.0013,0.033600000000000005,0.186,0.0231,0.15480000000000002,0.39880000000000004
2015,0.0016,0.040600000000000004,0.2809,0.0312,0.2687,0.623
2016,0.0014000000000000002,0.1348,0.6965,0.06380000000000001,0.549,1.4455
2017,0.0011,0.09210000000000002,0.3387,0.0429,0.4048,0.8795999999999999
2018,0.0031,0.2306,1.2595,0.16369999999999998,0.9632999999999999,2.6202
2019,0.0018,0.07429999999999999,0.4925,0.0572,0.4864,1.1122
2020,0.004200000000000001,0.142,0.7861,0.10640000000000001,1.0143,2.053
2021,0.022,0.1855,1.554,0.1168,1.1182999999999998,2.9966
2022,0.0018000000000000002,0.0555,0.2703,0.0335,0.29910000000000003,0.6602
2023,0.0088,0.4096,2.039,0.2657,2.1552,4.878299999999999
2024,0.011300000000000001,0.7962,2.9457999999999998,0.5552,5.0222,9.3307
