Aimag,Year,Species,Thousand_head
Arkhangai,1970,Camel,3.1
Arkhangai,1970,Cattle,233.9
Arkhangai,1970,Goat,165.6
Arkhangai,1970,Horse,205.3
Arkhangai,1970,Sheep,871.4
Arkhangai,1971,Camel,3.0
Arkhangai,1971,Cattle,235.0
Arkhangai,1971,Goat,169.2
Arkhangai,1971,Horse,199.6
Arkhangai,1971,Sheep,904.2
Arkhangai,1972,Camel,2.8
Arkhangai,1972,Cattle,231.4
Arkhangai,1972,Goat,174.0
Arkhangai,1972,Horse,193.5
Arkhangai,1972,Sheep,898.0
Arkhangai,1973,Camel,2.7
Arkhangai,1973,Cattle,232.4
Arkhangai,1973,Goat,172.8
Arkhangai,1973,Horse,185.2
Arkhangai,1973,Sheep,898.9
Arkhangai,1974,Camel,2.7
Arkhangai,1974,Cattle,241.7
Arkhangai,1974,Goat,176.5
Arkhangai,1974,Horse,189.9
Arkhangai,1974,Sheep,938.3
Arkhangai,1975,Camel,2.6
Arkhangai,1975,Cattle,248.5
Arkhangai,1975,Goat,171.1
Arkhangai,1975,Horse,192.1
Arkhangai,1975,Sheep,936.0
Arkhangai,1976,Camel,2.2
Arkhangai,1976,Cattle,247.5
Arkhangai,1976,Goat,163.2
Arkhangai,1976,Horse,186.4
Arkhangai,1976,Sheep,891.0
Arkhangai,1977,Camel,2.0
Arkhangai,1977,Cattle,241.5
Arkhangai,1977,Goat,148.3
Arkhangai,1977,Horse,179.8
Arkhangai,1977,Sheep,821.7
Arkhangai,1978,Camel,2.0
Arkhangai,1978,Cattle,254.1
Arkhangai,1978,Goat,161.8
Arkhangai,1978,Horse,175.9
Arkhangai,1978,Sheep,832.2
Arkhangai,1979,Camel,2.1
Arkhangai,1979,Cattle,254.8
Arkhangai,1979,Goat,165.1
Arkhangai,1979,Horse,173.5
Arkhangai,1979,Sheep,832.5
Arkhangai,1980,Camel,2.1
Arkhangai,1980,Cattle,247.7
Arkhangai,1980,Goat,171.2
Arkhangai,1980,Horse,170.1
Arkhangai,1980,Sheep,860.9
Arkhangai,1981,Camel,2.1
Arkhangai,1981,Cattle,249.4
Arkhangai,1981,Goat,176.1
Arkhangai,1981,Horse,174.3
Arkhangai,1981,Sheep,910.5
Arkhangai,1982,Camel,2.3
Arkhangai,1982,Cattle,256.2
Arkhangai,1982,Goat,186.4
Arkhangai,1982,Horse,180.9
Arkhangai,1982,Sheep,901.8
Arkhangai,1983,Camel,2.1
Arkhangai,1983,Cattle,254.0
Arkhangai,1983,Goat,164.1
Arkhangai,1983,Horse,176.5
Arkhangai,1983,Sheep,789.7
Arkhangai,1984,Camel,2.1
Arkhangai,1984,Cattle,253.8
