Year,Horse,Cattle,Camel,Sheep,Goat,Headcount,SFU_units
1970,2.315,2.1078,0.6335,13.3115,4.207,22.574800000000003,49.11709999999999
1971,2.2695,2.1761,0.632,13.420200000000001,4.1948,22.692600000000002,49.29862
1972,2.2394000000000003,2.1894,0.6251,13.7159,4.3384,23.1082,49.55816
1973,2.1854,2.2346999999999997,0.6029,14.072899999999999,4.4422,23.5381,49.79137999999999
1974,2.2649,2.364,0.6066,14.5037,4.5744,24.3136,51.69196
1975,2.2546,2.4271,0.617,14.4584,4.594600000000001,24.351699999999997,52.02334
1976,2.2047,2.4184,0.6073,13.9065,4.5471,23.683999999999997,50.97869
1977,2.1027,2.3899,0.609,13.430299999999999,4.4103,22.9422,49.502869999999994
1978,2.0785,2.4812,0.6086,14.152700000000001,4.7047,24.0257,50.86663
1979,2.0799000000000003,2.4543000000000004,0.6163,14.3725,4.739199999999999,24.2622,51.004380000000005
1980,1.9854,2.5000999999999998,0.5915,14.2307,4.5668,23.8745,50.19672
1981,1.9912,2.3763,0.5862,14.714,4.5954,24.2631,49.97706
1982,2.0279000000000003,2.3955,0.5847,14.954799999999999,4.8018,24.764699999999998,50.76822000000001
1983,1.9596,2.3739,0.578,14.1104,4.5485,23.570400000000003,49.054649999999995
1984,1.9609,2.3739,0.5682,13.391200000000001,4.298,22.5922,48.070100000000004
1985,1.9710999999999999,2.4081,0.559,13.2488,4.2986,22.485599999999998,48.15884
1986,2.0176,2.4685,0.551,13.169,4.384399999999999,22.5905,48.804159999999996
1987,2.0472,2.526,0.5466,13.233799999999999,4.3877,22.7413,49.40212999999999
1988,2.103,2.5413,0.5529,13.4508,4.4743,23.1223,50.21097
1989,2.1995999999999998,2.6927,0.5582999999999999,14.2652,4.9592,24.675,53.07337999999999
1990,2.2620999999999998,2.8487,0.5375,15.083,5.1258,25.857099999999996,55.31061999999999
1991,2.2594000000000003,2.822,0.476,14.721,5.2496,25.528000000000002,54.57344000000001
1992,2.2001999999999997,2.8192,0.4152,14.657,5.6025,25.6941,54.09185
1993,2.1355,2.6588000000000003,0.363,13.495,6.0361,24.688399999999998,51.643789999999996
1994,2.4071,2.9966999999999997,0.36610000000000004,13.774,7.2346,26.7785,56.945539999999994
1995,2.6484,3.3171,0.3675,13.7186,8.5208,28.572400000000002,61.66622
1996,2.7705,3.4763,0.3579,13.5606,9.1349,29.300200000000004,63.82281
1997,2.8931999999999998,3.6129000000000002,0.3554,14.1656,10.2653,31.2924,67.11117
1998,3.0591,3.7258,0.3565,14.6943,11.0619,32.8976,70.20101
1999,3.1635,3.8247,0.3556,15.1913,11.0339,33.569,71.99251
2000,2.6607,3.0976,0.32289999999999996,13.8764,10.2698,30.2274,61.944219999999994
2001,2.1919,2.0696,0.2852,11.9374,9.591299999999999,26.075399999999995,49.75647000000001
2002,1.9889000000000001,1.8842999999999999,0.2531,10.6366,9.134799999999998,23.897699999999997,45.351519999999994
2003,1.9689,1.7928,0.2567,10.7564,10.653,25.427799999999998,46.1667
2004,2.0053,1.8416,0.25660000000000005,11.686399999999999,12.238,28.0279,49.0703
2005,2.0291,1.9637,0.2542,12.8846,13.2674,30.399,52.08216
2006,2.1148000000000002,2.1679,0.2533,14.815100000000001,15.4517,34.802800000000005,57.799130000000005
2007,2.2395,2.4258,0.2606,16.990099999999998,18.347900000000003,40.2639,65.03751
2008,2.187,2.5034,0.26639999999999997,18.3624,19.9694,43.2886,67.99626
2009,2.2213000000000003,2.5994,0.2771,19.2748,19.6515,44.0241,69.49215000000001
2010,1.9203,2.176,0.2696,14.4804,13.8832,32.7295,54.82138
2011,2.1129000000000002,2.3396999999999997,0.2801,15.6685,15.9346,36.3358,60.238640000000004
2012,2.3304,2.5846,0.3058,18.1414,17.5587,40.9209,67.29363000000001
2013,2.6194,2.9095,0.3215,20.0664,19.2276,45.144400000000005,74.77154
2014,2.9958,3.4139,0.3493,23.2148,22.0089,51.9827,86.22331
2015,3.2953,3.7804,0.368,24.943099999999998,23.5929,55.9797,93.76621
2016,3.6355,4.0809,0.4013,27.8566,25.574900000000003,61.5492,102.81441
2017,3.9398,4.3885,0.43410000000000004,30.109900000000003,27.346700000000002,66.21900000000001,110.80203
2018,3.9400999999999997,4.3809,0.4597,30.5548,27.1247,66.4602,111.13162999999997
2019,4.2148,4.7532,0.4724,32.2673,29.2617,70.96940000000001,118.98763000000001
2020,4.0939,4.732,0.4729,30.049400000000002,27.720299999999998,67.0685,114.41147
2021,4.3244,5.0222,0.454,31.087,26.4561,67.3437,117.57149
2022,4.8211,5.5128,0.4705,32.7477,27.5694,71.1215,126.73716
2023,4.8297,5.3508000000000004,0.4739,29.4094,24.6182,64.682,119.84798
2024,4.6832,5.0746,0.4806,24.4911,22.9202,57.6497,110.75228000000001
