latitude,longitude,Aimag,weight
52.0,98.75,Khuvsgul,122638814.01504907
52.0,99.0,Khuvsgul,413556181.84229493
52.0,99.25,Khuvsgul,233518831.48706526
52.0,99.5,Khuvsgul,134675103.9727269
52.0,99.75,Khuvsgul,42636416.24742484
51.75,98.25,Khuvsgul,44804600.39879204
51.75,98.5,Khuvsgul,272253750.68706626
51.75,98.75,Khuvsgul,437784067.8839807
51.75,99.0,Khuvsgul,480236308.72813886
51.75,99.25,Khuvsgul,480236308.72813886
51.75,99.5,Khuvsgul,480236308.7281018
51.75,99.75,Khuvsgul,456228967.29289913
51.75,100.0,Khuvsgul,232314051.182664
51.75,100.25,Khuvsgul,232084466.9550526
51.75,100.5,Khuvsgul,216888422.58691087
51.75,100.75,Khuvsgul,105987876.87364127
51.75,101.0,Khuvsgul,66852.2376185628
51.5,98.0,Khuvsgul,62157972.72630246
51.5,98.25,Khuvsgul,329696158.4427377
51.5,98.5,Khuvsgul,482862192.65585667
51.5,98.75,Khuvsgul,482862192.655894
51.5,99.0,Khuvsgul,482862192.655894
51.5,99.25,Khuvsgul,482862192.655894
51.5,99.5,Khuvsgul,482862192.65585667
51.5,99.75,Khuvsgul,482862192.65585667
51.5,100.0,Khuvsgul,482862192.655894
51.5,100.25,Khuvsgul,482862192.655894
51.5,100.5,Khuvsgul,482862192.655894
51.5,100.75,Khuvsgul,482862192.65585667
51.5,101.0,Khuvsgul,424961638.1968757
51.5,101.25,Khuvsgul,271604381.1098256
51.5,101.5,Khuvsgul,198491122.24105346
51.5,101.75,Khuvsgul,124422850.28193927
51.5,102.0,Khuvsgul,37098991.17002865
51.25,98.0,Khuvsgul,352525656.13735723
51.25,98.25,Khuvsgul,485478527.5715799
51.25,98.5,Khuvsgul,485478527.5715799
51.25,98.75,Khuvsgul,485478527.57161736
51.25,99.0,Khuvsgul,485478527.57161736
51.25,99.25,Khuvsgul,485478527.57161736
51.25,99.5,Khuvsgul,485478527.5715799
51.25,99.75,Khuvsgul,485478527.5715799
51.25,100.0,Khuvsgul,485478527.57161736
51.25,100.25,Khuvsgul,485478527.57161736
51.25,100.5,Khuvsgul,485478527.57161736
51.25,100.75,Khuvsgul,485478527.5715799
51.25,101.0,Khuvsgul,485478527.57161736
51.25,101.25,Khuvsgul,485478527.5715799
51.25,101.5,Khuvsgul,485478527.57161736
51.25,101.75,Khuvsgul,485478527.57161736
51.25,102.0,Khuvsgul,479104447.96878165
51.25,102.25,Khuvsgul,29654491.57485413
51.0,92.25,Uvs,3322436.821664586
51.0,92.5,Uvs,157112.0546284092
51.0,97.75,Khuvsgul,21711046.268361717
51.0,98.0,Khuvsgul,449027350.081147
51.0,98.25,Khuvsgul,488085265.98449737
51.0,98.5,Khuvsgul,488085265.98449737
51.0,98.75,Khuvsgul,488085265.9845351
51.0,99.0,Khuvsgul,488085265.9845351
51.0,99.25,Khuvsgul,488085265.9845351
51.0,99.5,Khuvsgul,488085265.98449737
51.0,99.75,Khuvsgul,488085265.98449737
51.0,100.0,Khuvsgul,488085265.9845351
51.0,100.25,Khuvsgul,488085265.9845351
51.0,100.5,Khuvsgul,488085265.9845351
51.0,100.75,Khuvsgul,488085265.98449737
51.0,101.0,Khuvsgul,488085265.9845351
51.0,101.25,Khuvsgul,488085265.98449737
51.0,101.5,Khuvsgul,488085265.9845351
51.0,101.75,Khuvsgul,488085265.9845351
51.0,102.0,Khuvsgul,488085265.98449737
51.0,102.25,Khuvsgul,146458458.06660464
50.75,91.75,Uvs,140444662.01355535
50.75,92.0,Uvs,170982137.88742304
50.75,92.25,Uvs,268830711.299375
50.75,92.5,Uvs,334811148.99399894
50.75,92.75,Uvs,256244128.10749412
50.75,93.0,Uvs,171288148.81707677
50.75,93.25,Uvs,60530.493926124036
50.75,93.5,Uvs,3994638.6286053467
50.75,98.0,Khuvsgul,244929491.66095635
50.75,98.25,Khuvsgul,490682360.64753515
50.75,98.5,Khuvsgul,490682360.64753515
50.75,98.75,Khuvsgul,490682360.64757305
50.75,99.0,Khuvsgul,490682360.64757305
50.75,99.25,Khuvsgul,490682360.64757305
50.75,99.5,Khuvsgul,490682360.64753515
50.75,99.75,Khuvsgul,490682360.64753515
50.75,100.0,Khuvsgul,490682360.64757305
50.75,100.25,Khuvsgul,490682360.64757305
50.75,100.5,Khuvsgul,490682360.64757305
50.75,100.75,Khuvsgul,490682360.64753515
50.75,101.0,Khuvsgul,490682360.64757305
50.75,101.25,Khuvsgul,490682360.64753515
50.75,101.5,Khuvsgul,490682360.64757305
50.75,101.75,Khuvsgul,490682360.64757305
50.75,102.0,Khuvsgul,490682360.64753515
50.75,102.25,Khuvsgul,329842236.59511864
50.75,102.5,Khuvsgul,13059747.499034576
50.5,91.0,Uvs,93552961.02265318
50.5,91.25,Uvs,147078388.25981677
50.5,91.5,Uvs,334433454.1546246
50.5,91.75,Uvs,485578572.91640604
50.5,92.0,Uvs,493269764.5568404
