Aimag,Period,N_years,SPEI_slope_per_decade,Drying_rate_per_decade,r,p_value,standard_error_per_year
Arkhangai,1950-2024,75,-0.2529018250573247,0.2529018250573247,-0.6496250120545047,2.8743584167739207e-10,0.0034640723961978695
Govisumber,1950-2024,75,-0.24415935046556134,0.24415935046556134,-0.559214455826026,1.839279146972981e-07,0.004236431018539884
Tuv,1950-2024,75,-0.22941053276713366,0.22941053276713366,-0.5568879467232363,2.1188421798030163e-07,0.0040046961042677146
Dundgovi,1950-2024,75,-0.22175154958556959,0.22175154958556959,-0.5866238135556767,3.190908733878458e-08,0.003583069694764518
Uvurkhangai,1950-2024,75,-0.2088448125445645,0.2088448125445645,-0.5683757729694144,1.0424226167020174e-07,0.0035383816474250655
Orkhon,1950-2024,75,-0.1922541385541719,0.1922541385541719,-0.44542667378998063,6.21522409874107e-05,0.004522885232319061
Bulgan,1950-2024,75,-0.1909908349630751,0.1909908349630751,-0.49245641249220934,7.195614419585357e-06,0.003950670423227242
Khentii,1950-2024,75,-0.18453351256596495,0.18453351256596495,-0.4774046995818285,1.4854352525804415e-05,0.003975205792956865
Dornogovi,1950-2024,75,-0.1824263678385071,0.1824263678385071,-0.5124831449120524,2.5968510000059536e-06,0.0035775580074142894
Umnugovi,1950-2024,75,-0.17345182518407115,0.17345182518407115,-0.49976429512386006,4.9978593327517285e-06,0.003518447435055029
Zavkhan,1950-2024,75,-0.17111061539397193,0.17111061539397193,-0.4746231532974515,1.6920729398281778e-05,0.003714005921723462
Sukhbaatar,1950-2024,75,-0.1505469816575802,0.1505469816575802,-0.40785732211011205,0.0002811090209706052,0.003944526361677067
Bayankhongor,1950-2024,75,-0.14215414736338244,0.14215414736338244,-0.4170665815296652,0.00019735311628925694,0.003625745504617114
Khuvsgul,1950-2024,75,-0.13166076684744588,0.13166076684744588,-0.3709114583393963,0.0010531521161296223,0.0038582049237881693
Uvs,1950-2024,75,-0.1316370410777655,0.1316370410777655,-0.3624496828847096,0.0013954441563190697,0.003961744162379051
Darkhan-Uul,1950-2024,75,-0.1294985688703934,0.1294985688703934,-0.28224388026041386,0.014153185185123929,0.005151726210039232
Selenge,1950-2024,75,-0.12381066665785366,0.12381066665785366,-0.2961884336834896,0.009875510332024568,0.004672946486834503
Dornod,1950-2024,75,-0.11899175728613877,0.11899175728613877,-0.3482243239896057,0.0022023674818401604,0.003749095452343014
Bayan-Ulgii,1950-2024,75,-0.07521033122758278,0.07521033122758278,-0.18878756706376548,0.10477967461776995,0.004578910004817798
Govi-Altai,1950-2024,75,-0.0536603537879176,0.0536603537879176,-0.14673318061656662,0.2090378790483279,0.0042338687278803055
Khovd,1950-2024,75,-0.047187036165914485,0.047187036165914485,-0.12003385868786653,0.30499603726352786,0.004567789262938313
Khovd,1992-2024,33,-0.6406344371166884,0.6406344371166884,-0.6488000260624224,4.4283426624095666e-05,0.013495214911158472
Zavkhan,1992-2024,33,-0.5879982660021156,0.5879982660021156,-0.6242259354791727,0.00010353699121405537,0.013217216723507515
Uvs,1992-2024,33,-0.5416421527410806,0.5416421527410806,-0.6101336449730406,0.0001632603397751928,0.012632679436945756
Govi-Altai,1992-2024,33,-0.5239094756196409,0.5239094756196409,-0.5516208461020136,0.0008760111684721099,0.01422820932076879
Umnugovi,1992-2024,33,-0.4819964357631548,0.4819964357631548,-0.5859044756268227,0.0003402985933382163,0.011973605495670626
Uvurkhangai,1992-2024,33,-0.4506027094863216,0.4506027094863216,-0.5170628531089374,0.0020618710959876088,0.01339728224303493
Dundgovi,1992-2024,33,-0.44901913720467346,0.44901913720467346,-0.5601743625773704,0.0006985477933658338,0.011925802543521394
Bayankhongor,1992-2024,33,-0.4478817091172768,0.4478817091172768,-0.4966866923875429,0.003279958113722103,0.014056739965948948
Bayan-Ulgii,1992-2024,33,-0.3965566138165436,0.3965566138165436,-0.4633790274662899,0.006610989929666153,0.01362072457542509
Arkhangai,1992-2024,33,-0.3903194098805252,0.3903194098805252,-0.443514933840646,0.009731336424430992,0.014166691983756143
Dornogovi,1992-2024,33,-0.36319590340747887,0.36319590340747887,-0.49384525481044983,0.003491563102006202,0.011485864051232024
Tuv,1992-2024,33,-0.2911625447221293,0.2911625447221293,-0.3901843925954061,0.024779062234097447,0.01234014428908121
Govisumber,1992-2024,33,-0.28963399361751524,0.28963399361751524,-0.34770652455645334,0.04739416545980172,0.014027330457232076
Sukhbaatar,1992-2024,33,-0.21430352788549067,0.21430352788549067,-0.267701930193511,0.1320214562332505,0.013853180456124199
Bulgan,1992-2024,33,-0.20040584531785244,0.20040584531785244,-0.23694140650891551,0.18429718403633727,0.014758495366430069
Khuvsgul,1992-2024,33,-0.17672429114010943,0.17672429114010943,-0.22008107124427373,0.21844309610091908,0.014068629262461227
Orkhon,1992-2024,33,-0.1730923820007193,0.1730923820007193,-0.1767089555629357,0.32524114549289684,0.01731608753620471
Darkhan-Uul,1992-2024,33,-0.15436599538395168,0.15436599538395168,-0.1735960561855545,0.3339722235296364,0.0157284688842889
Selenge,1992-2024,33,-0.11758722205387065,0.11758722205387065,-0.14188762155578036,0.43090070191041563,0.014733927914789226
Dornod,1992-2024,33,-0.05448316138198628,0.05448316138198628,-0.06706219231155278,0.7107816386623595,0.014558777835404399
Khentii,1992-2024,33,-0.0003966089135620205,0.0003966089135620205,-0.0004968019840407578,0.9978107168035264,0.01433831933134515
