Aimag,Year,Season,Seasonal_SPEI3
Arkhangai,1950,DJF,0.0948809191071051
Arkhangai,1950,JJA,2.113166094814176
Arkhangai,1950,MAM,-0.11502030726854547
Arkhangai,1950,SON,1.3430946626464606
Arkhangai,1951,DJF,0.17995562452643435
Arkhangai,1951,JJA,0.6142954327262827
Arkhangai,1951,MAM,1.5676313913274806
Arkhangai,1951,SON,0.7101016095642029
Arkhangai,1952,DJF,-0.10969148277903816
Arkhangai,1952,JJA,0.7913249443443502
Arkhangai,1952,MAM,0.5030766201115181
Arkhangai,1952,SON,1.5053281854685234
Arkhangai,1953,DJF,1.0560216191486045
Arkhangai,1953,JJA,0.4739953089993373
Arkhangai,1953,MAM,1.4167940753848325
Arkhangai,1953,SON,0.1392843387023739
Arkhangai,1954,DJF,0.09040734123220469
Arkhangai,1954,JJA,1.2669378793800148
Arkhangai,1954,MAM,1.0759941798964925
Arkhangai,1954,SON,1.4895877645974391
Arkhangai,1955,DJF,0.8114323460587635
Arkhangai,1955,JJA,1.4541668340826435
Arkhangai,1955,MAM,1.5491657709694198
Arkhangai,1955,SON,1.2633727289593055
Arkhangai,1956,DJF,0.48119821239554406
Arkhangai,1956,JJA,1.4413922167886746
Arkhangai,1956,MAM,0.854307824751317
Arkhangai,1956,SON,0.7672357934386416
Arkhangai,1957,DJF,0.7560449230508379
Arkhangai,1957,JJA,0.35810556602921007
Arkhangai,1957,MAM,0.45404181545215666
Arkhangai,1957,SON,0.1872643441830903
Arkhangai,1958,DJF,-0.12330078439973881
Arkhangai,1958,JJA,1.3072933916563074
Arkhangai,1958,MAM,1.6777744065268807
Arkhangai,1958,SON,1.3101136527611084
Arkhangai,1959,DJF,0.055136580159908424
Arkhangai,1959,JJA,1.3336625420105623
Arkhangai,1959,MAM,1.2974648989079476
Arkhangai,1959,SON,1.1846056077500866
Arkhangai,1960,DJF,0.5098209220113865
Arkhangai,1960,JJA,1.6274461022008408
Arkhangai,1960,MAM,0.5941639004422891
Arkhangai,1960,SON,0.9061889388350568
Arkhangai,1961,DJF,0.4491172697093301
Arkhangai,1961,JJA,1.003206001211131
Arkhangai,1961,MAM,1.0117140017925572
Arkhangai,1961,SON,0.3026526561252037
Arkhangai,1962,DJF,-0.05300775622116637
Arkhangai,1962,JJA,0.22600490641034982
Arkhangai,1962,MAM,-0.02758405016110474
Arkhangai,1962,SON,0.4583328630124978
Arkhangai,1963,DJF,-0.4136352674148443
Arkhangai,1963,JJA,0.9096808725186137
Arkhangai,1963,MAM,-0.05391637712579481
Arkhangai,1963,SON,0.4639411379199724
Arkhangai,1964,DJF,-0.08206256064358684
Arkhangai,1964,JJA,1.444536929283127
Arkhangai,1964,MAM,1.7537676369757218
Arkhangai,1964,SON,1.7641957685104872
Arkhangai,1965,DJF,0.41654860289750834
Arkhangai,1965,JJA,0.8840215980244782
Arkhangai,1965,MAM,0.40797398630498316
Arkhangai,1965,SON,-0.3718257320351246
Arkhangai,1966,DJF,0.003409366154506134
Arkhangai,1966,JJA,0.7000317230087211
Arkhangai,1966,MAM,1.698380548718824
Arkhangai,1966,SON,-0.5113340376842915
Arkhangai,1967,DJF,0.1527242696432193
Arkhangai,1967,JJA,1.2546033346857484
Arkhangai,1967,MAM,1.4636073713728606
Arkhangai,1967,SON,-0.41944898578337403
Arkhangai,1968,DJF,0.8284001739424164
Arkhangai,1968,JJA,0.03485981675299122
Arkhangai,1968,MAM,0.39175680482302466
Arkhangai,1968,SON,1.3297043027616224
Arkhangai,1969,DJF,1.3027410576195593
Arkhangai,1969,JJA,0.8065845953603841
Arkhangai,1969,MAM,1.3738459247092063
Arkhangai,1969,SON,1.345155042278334
Arkhangai,1970,DJF,0.5353668038137148
Arkhangai,1970,JJA,0.18029227086710262
Arkhangai,1970,MAM,1.8495935179011243
Arkhangai,1970,SON,0.7980962625776867
Arkhangai,1971,DJF,1.0604682048556429
Arkhangai,1971,JJA,1.5525247657915837
Arkhangai,1971,MAM,1.2927749307917722
Arkhangai,1971,SON,0.883510036664822
